user,session_pitch,session_mass_kg,session_height_m,age_yrs,pitch_speed_mph,lead_knee_extension_angular_velo_max,lead_knee_velo_peak_reconstructed,lead_knee_velo_peak_time,trunk_flexion_velo_peak_fp_br,trunk_flexion_velo_peak_time,trunk_flexion_velo_peak_after_knee_peak,trunk_flexion_peak_after_knee_peak_time,knee_peak_precedes_trunk_peak,knee_to_trunk_peak_ms
750,1031_2,110.6784,1.9304,21.4,90.4,452.7888,449.407,1.3389,406.7471,1.3194,367.1204,1.3389,0.0,-19.50000000000007
750,1031_3,110.6784,1.9304,21.4,90.4,513.3286,490.8747,0.825,457.9041,0.8056,369.4748,0.825,0.0,-19.399999999999974
774,1097_1,101.1528,1.9304,19.41,77.6,333.5518,333.5518,0.9944,308.8314,0.9972,308.8314,0.9972,1.0,2.8000000000000247
774,1097_2,101.1528,1.9304,19.41,77.0,350.0649,347.2241,1.0611,348.1271,1.0611,348.1271,1.0611,1.0,0.0
774,1097_3,101.1528,1.9304,19.41,76.1,477.7753,477.7753,1.0139,309.3184,1.025,309.3184,1.025,1.0,11.099999999999888
653,1170_1,82.1016,1.9304,20.52,80.9,354.4133,352.1963,1.1667,377.3551,1.1639,375.7915,1.1667,0.0,-2.8000000000001357
653,1170_2,82.1016,1.9304,20.52,82.6,304.9185,304.9185,0.8861,322.0348,1.0139,322.0348,1.0139,1.0,127.80000000000003
738,1250_1,78.4728,1.7526,21.49,88.1,434.884,434.884,0.7778,308.3495,0.7778,308.3495,0.7778,1.0,0.0
738,1250_3,78.4728,1.7526,21.49,88.6,456.2266,456.2266,0.8,286.2397,0.8,286.2397,0.8,1.0,0.0
789,1313_1,84.3696,1.8288,19.02,85.8,373.0743,359.6947,1.1028,362.5402,1.0833,305.142,1.1028,0.0,-19.50000000000007
789,1313_2,84.3696,1.8288,19.02,85.9,396.3889,365.6292,1.0444,372.4986,1.025,320.4736,1.0444,0.0,-19.400000000000084
789,1313_3,84.3696,1.8288,19.02,85.8,395.4072,372.7272,1.1111,338.0829,1.0944,310.1734,1.1111,0.0,-16.69999999999994
894,1346_1,72.1224,1.8288,20.67,84.6,515.9114,515.9114,1.0528,325.1208,1.1028,325.1208,1.1028,1.0,50.00000000000004
894,1346_2,72.1224,1.8288,20.67,84.5,606.3839,606.3839,1.0889,320.0929,1.1389,320.0929,1.1389,1.0,50.00000000000004
894,1346_3,72.1224,1.8288,20.67,84.8,546.58,546.58,1.0583,326.391,1.1139,326.391,1.1139,1.0,55.59999999999987
905,1370_1,104.328,1.905,23.43,87.8,490.8645,475.2245,0.9694,502.2826,0.9556,445.3926,0.9694,0.0,-13.800000000000034
905,1370_2,104.328,1.905,23.43,86.9,520.3264,440.5649,0.9444,515.575,0.9333,482.3344,0.9444,0.0,-11.099999999999998
905,1370_3,104.328,1.905,23.43,86.9,559.5884,502.4437,1.3417,505.9399,1.3278,447.1191,1.3417,0.0,-13.899999999999801
906,1371_2,99.3384,1.8034,25.27,87.4,297.536,297.536,0.7361,395.7311,0.7194,337.7514,0.7361,0.0,-16.69999999999994
906,1371_3,99.3384,1.8034,25.27,87.8,282.5463,282.5463,0.7472,371.023,0.7306,307.1849,0.7472,0.0,-16.599999999999948
919,1393_1,88.9056,1.6764,23.05,71.3,291.667,290.0182,0.975,379.7326,0.9639,373.9623,0.975,0.0,-11.099999999999998
919,1393_2,88.9056,1.6764,23.05,69.9,284.7172,278.0017,1.05,374.3435,1.0361,356.5922,1.05,0.0,-13.900000000000023
919,1393_3,88.9056,1.6764,23.05,69.5,270.3678,270.3678,0.8889,395.894,1.0194,395.894,1.0194,1.0,130.50000000000006
920,1394_1,94.3488,1.905,18.14,86.3,482.5451,352.5496,0.9917,453.2088,0.9917,453.2088,0.9917,1.0,0.0
920,1394_2,94.3488,1.905,18.14,86.7,506.6609,388.9926,0.9917,454.9546,0.9917,454.9546,0.9917,1.0,0.0
920,1394_3,94.3488,1.905,18.14,86.8,409.794,372.413,0.9972,425.8237,0.9972,425.8237,0.9972,1.0,0.0
927,1403_1,70.308,1.778,19.1,78.7,463.0228,285.7802,0.875,415.9737,0.8889,415.9737,0.8889,1.0,13.900000000000023
927,1403_2,70.308,1.778,19.1,78.6,431.2744,277.8958,1.0389,409.2031,1.0389,409.2031,1.0389,1.0,0.0
927,1403_3,70.308,1.778,19.1,77.9,534.1873,328.6298,0.8167,418.3199,0.8278,418.3199,0.8278,1.0,11.099999999999998
949,1561_1,118.3896,1.9304,25.88,86.0,230.3961,227.4285,1.6361,414.7222,1.625,402.1874,1.6361,0.0,-11.10000000000011
949,1561_2,118.3896,1.9304,25.88,84.6,228.8186,218.9398,1.5139,424.049,1.5056,416.2916,1.5139,0.0,-8.299999999999974
949,1561_3,118.3896,1.9304,25.88,86.0,268.8299,261.7386,1.7806,425.5862,1.7722,413.2655,1.7806,0.0,-8.399999999999963
874,1562_1,95.7096,1.8542,20.81,91.8,243.8379,98.1757,1.2778,435.1695,1.3778,435.1695,1.3778,1.0,99.99999999999987
874,1562_2,95.7096,1.8542,20.81,90.3,250.8683,98.4373,1.3611,407.1274,1.4722,407.1274,1.4722,1.0,111.09999999999998
874,1562_3,95.7096,1.8542,20.81,90.6,359.9479,279.1359,1.3444,398.8189,1.4556,398.8189,1.4556,1.0,111.19999999999996
952,1574_1,87.0912,1.9304,21.22,89.8,346.568,292.9116,1.3444,599.2826,1.3444,599.2826,1.3444,1.0,0.0
952,1574_2,87.0912,1.9304,21.22,88.6,314.2521,265.4269,1.3806,597.1426,1.3806,597.1426,1.3806,1.0,0.0
952,1574_3,87.0912,1.9304,21.22,89.5,395.6343,364.9743,1.2889,618.0521,1.2889,618.0521,1.2889,1.0,0.0
956,1581_1,94.8024,1.7018,21.51,82.3,330.4776,330.4776,1.55,263.2383,1.55,263.2383,1.55,1.0,0.0
956,1581_2,94.8024,1.7018,21.51,82.3,393.4227,393.4227,1.5778,271.0896,1.6,271.0896,1.6,1.0,22.199999999999996
956,1581_3,94.8024,1.7018,21.51,83.0,330.9895,330.9895,1.4667,289.2932,1.5111,289.2932,1.5111,1.0,44.40000000000022
628,1601_1,103.8744,1.8542,20.87,86.3,535.1246,535.1246,1.9139,404.9532,1.8944,361.2058,1.9139,0.0,-19.49999999999985
628,1601_2,103.8744,1.8542,20.87,86.1,566.9859,562.5729,1.7861,447.7364,1.7694,415.8097,1.7861,0.0,-16.69999999999994
628,1601_3,103.8744,1.8542,20.87,86.2,426.2876,426.2876,1.4111,401.4268,1.3944,373.3706,1.4111,0.0,-16.69999999999994
884,1603_1,91.1736,1.7526,22.5,85.0,477.8829,448.8765,1.2194,427.9529,1.2028,390.5576,1.2194,0.0,-16.599999999999948
884,1603_2,91.1736,1.7526,22.5,85.6,522.9664,495.901,1.2,420.9739,1.1833,376.7037,1.2,0.0,-16.69999999999994
884,1603_3,91.1736,1.7526,22.5,85.1,441.5739,417.6226,1.3722,430.14,1.3556,389.0294,1.3722,0.0,-16.600000000000172
625,1612_1,91.1736,1.8034,19.6,86.4,346.7676,341.8796,1.1889,313.4023,1.2444,313.4023,1.2444,1.0,55.499999999999886
625,1612_2,91.1736,1.8034,19.6,85.8,304.3629,300.1779,1.1556,300.6226,1.2028,300.6226,1.2028,1.0,47.20000000000013
625,1612_3,91.1736,1.8034,19.6,84.6,336.4306,336.4306,1.0083,305.5504,1.0694,305.5504,1.0694,1.0,61.09999999999993
830,1615_1,87.5448,1.778,22.83,85.4,368.0823,368.0823,1.1722,499.1026,1.1722,499.1026,1.1722,1.0,0.0
830,1615_2,87.5448,1.778,22.83,84.4,289.2842,289.2842,1.3278,442.7118,1.3306,442.7118,1.3306,1.0,2.7999999999999137
967,1620_1,92.0808,1.8542,18.0,85.0,284.7085,206.9254,1.4778,498.5304,1.475,498.0615,1.4778,0.0,-2.7999999999999137
967,1620_3,92.0808,1.8542,18.0,84.6,193.9739,193.9739,1.3139,462.2851,1.45,462.2851,1.45,1.0,136.09999999999988
970,1623_1,81.648,1.7526,22.87,85.8,275.5228,275.5228,1.6444,450.485,1.6361,441.1423,1.6444,0.0,-8.299999999999974
970,1623_2,81.648,1.7526,22.87,85.7,259.5109,259.5109,1.9583,415.5317,1.9417,396.2988,1.9583,0.0,-16.599999999999948
970,1623_3,81.648,1.7526,22.87,85.3,207.7831,207.7831,1.8389,417.7788,1.8306,409.8844,1.8389,0.0,-8.299999999999974
616,1665_1,106.596,2.032,20.59,87.1,449.4176,317.9245,1.3222,433.0036,1.3722,433.0036,1.3722,1.0,50.00000000000004
616,1665_2,106.596,2.032,20.59,87.3,472.385,388.0999,1.4833,398.076,1.4833,398.076,1.4833,1.0,0.0
616,1665_3,106.596,2.032,20.59,87.3,442.1944,442.1944,1.3083,438.5577,1.3528,438.5577,1.3528,1.0,44.499999999999986
986,1668_1,81.648,1.8542,19.65,87.9,212.6726,201.7311,1.2361,376.2853,1.2194,343.4017,1.2361,0.0,-16.69999999999994
986,1668_2,81.648,1.8542,19.65,87.6,206.7632,206.7632,1.3278,435.4913,1.4333,435.4913,1.4333,1.0,105.49999999999993
986,1668_3,81.648,1.8542,19.65,87.8,190.9509,190.9509,1.2167,363.6643,1.2083,354.9602,1.2167,0.0,-8.399999999999963
511,1688_1,106.596,1.9812,22.26,93.1,412.2844,410.2209,1.6667,573.5352,1.6417,461.7581,1.6667,0.0,-25.000000000000135
511,1688_2,106.596,1.9812,22.26,91.4,362.6356,362.6356,1.4444,559.3026,1.55,559.3026,1.55,1.0,105.60000000000014
922,1717_1,103.4208,1.9304,20.57,72.0,248.0068,180.148,1.2417,377.3871,1.2361,374.8599,1.2417,0.0,-5.600000000000049
922,1717_3,103.4208,1.9304,20.57,71.4,283.9663,178.8391,1.2861,386.5615,1.2833,386.0192,1.2861,0.0,-2.7999999999999137
1000,1718_1,97.524,1.905,25.35,91.2,471.3482,471.3482,1.4,558.9497,1.5139,558.9497,1.5139,1.0,113.90000000000012
1000,1718_2,97.524,1.905,25.35,90.8,449.6551,400.9213,1.6083,532.748,1.6028,515.9004,1.6083,0.0,-5.50000000000006
1000,1718_3,97.524,1.905,25.35,90.8,413.6753,413.6753,1.3639,556.4863,1.4806,556.4863,1.4806,1.0,116.70000000000003
1003,1729_1,105.6888,2.0066,24.37,90.6,243.2299,243.2299,2.0278,414.7834,2.1,414.7834,2.1,1.0,72.20000000000005
1003,1729_2,105.6888,2.0066,24.37,90.5,339.18,339.18,1.8167,400.0495,1.9528,400.0495,1.9528,1.0,136.1000000000001
1003,1729_3,105.6888,2.0066,24.37,90.4,338.2479,338.2479,1.9528,393.0415,2.0806,393.0415,2.0806,1.0,127.79999999999991
1017,1759_1,79.38,1.8034,20.74,83.9,193.0502,193.0502,1.4639,410.3591,1.5083,410.3591,1.5083,1.0,44.39999999999999
1017,1759_2,79.38,1.8034,20.74,83.4,163.5596,163.5596,1.5333,407.4389,1.5806,407.4389,1.5806,1.0,47.2999999999999
1017,1759_3,79.38,1.8034,20.74,83.5,213.4422,213.4422,2.2639,367.6638,2.3194,367.6638,2.3194,1.0,55.499999999999886
610,1778_1,88.452,1.8034,26.95,83.3,376.0172,278.7947,0.9,517.8092,0.8944,507.8226,0.9,0.0,-5.600000000000049
610,1778_2,88.452,1.8034,26.95,83.4,318.1941,271.4941,0.8556,498.9116,0.8667,498.9116,0.8667,1.0,11.099999999999998
560,1779_1,103.4208,2.0066,25.61,83.7,143.9128,143.9128,0.95,406.6739,1.0917,406.6739,1.0917,1.0,141.69999999999993
560,1779_2,103.4208,2.0066,25.61,85.2,237.2785,237.2785,0.9083,408.4756,1.0472,408.4756,1.0472,1.0,138.89999999999992
560,1779_3,103.4208,2.0066,25.61,83.5,117.9533,103.4092,1.0861,411.1829,1.0806,403.8385,1.0861,0.0,-5.50000000000006
1027,1782_1,97.524,1.8288,18.64,73.8,619.378,474.3734,1.6,564.9456,1.5889,545.0479,1.6,0.0,-11.10000000000011
1027,1782_2,97.524,1.8288,18.64,74.0,589.7174,454.997,1.7778,586.8578,1.7694,572.6952,1.7778,0.0,-8.399999999999963
1027,1782_3,97.524,1.8288,18.64,74.3,505.5088,295.2903,1.5333,582.3189,1.5333,582.3189,1.5333,1.0,0.0
1027,1782_4,97.524,1.8288,18.64,75.2,645.0053,524.465,1.5694,617.5282,1.5667,617.2282,1.5694,0.0,-2.6999999999999247
890,1783_2,90.2664,1.8034,20.34,79.6,267.35,267.35,1.2861,363.5609,1.3056,363.5609,1.3056,1.0,19.50000000000007
890,1783_3,90.2664,1.8034,20.34,79.8,244.6332,244.6332,1.2972,363.5015,1.3194,363.5015,1.3194,1.0,22.199999999999996
890,1783_4,90.2664,1.8034,20.34,80.2,263.8579,263.8579,1.1139,380.0161,1.1333,380.0161,1.1333,1.0,19.400000000000084
890,1783_5,90.2664,1.8034,20.34,80.6,210.8508,210.8508,1.2944,350.3661,1.3194,350.3661,1.3194,1.0,24.99999999999991
538,1808_1,98.4312,1.8288,24.51,81.1,383.4485,308.6491,1.3667,255.9726,1.3556,245.043,1.3667,0.0,-11.10000000000011
538,1808_2,98.4312,1.8288,24.51,80.8,390.7169,273.2395,1.2389,288.4818,1.2306,282.2643,1.2389,0.0,-8.299999999999974
538,1808_3,98.4312,1.8288,24.51,81.3,324.2292,284.589,1.2556,270.765,1.2472,262.7207,1.2556,0.0,-8.399999999999963
538,1808_4,98.4312,1.8288,24.51,81.2,381.4091,322.99,1.1556,233.3125,1.15,229.9836,1.1556,0.0,-5.600000000000049
538,1808_5,98.4312,1.8288,24.51,81.2,324.0128,324.0128,1.1778,262.2843,1.1944,262.2843,1.1944,1.0,16.599999999999948
283,1826_1,91.1736,1.905,24.43,89.3,516.7831,478.8917,1.425,408.3017,1.4139,368.8871,1.425,0.0,-11.10000000000011
283,1826_2,91.1736,1.905,24.43,88.9,496.1035,477.4267,1.3,353.6383,1.2889,322.8564,1.3,0.0,-11.10000000000011
283,1826_3,91.1736,1.905,24.43,88.8,563.6754,526.0598,1.3194,378.8123,1.3083,349.5768,1.3194,0.0,-11.099999999999888
283,1826_4,91.1736,1.905,24.43,89.6,579.2704,523.2031,1.3444,379.7088,1.3306,332.1159,1.3444,0.0,-13.800000000000034
283,1826_5,91.1736,1.905,24.43,89.1,461.091,442.7447,1.3778,381.9764,1.3639,327.9566,1.3778,0.0,-13.900000000000023
1062,1830_1,84.3696,1.6764,21.88,83.5,384.3579,376.6044,1.6667,443.5308,1.6611,437.2894,1.6667,0.0,-5.600000000000049
1062,1830_2,84.3696,1.6764,21.88,83.4,384.4503,374.3104,1.5444,449.858,1.5389,445.092,1.5444,0.0,-5.50000000000006
1062,1830_3,84.3696,1.6764,21.88,83.4,374.0291,373.6673,1.3167,451.9271,1.45,451.9271,1.45,1.0,133.29999999999998
1062,1830_4,84.3696,1.6764,21.88,83.7,483.8725,483.8725,1.35,456.6355,1.4806,456.6355,1.4806,1.0,130.59999999999982
1062,1830_5,84.3696,1.6764,21.88,83.5,417.7725,417.7725,1.3028,454.6467,1.4389,454.6467,1.4389,1.0,136.1000000000001
1068,1845_1,92.5344,1.905,20.22,87.5,412.5226,412.5226,0.7806,323.1155,0.9083,323.1155,0.9083,1.0,127.70000000000003
1068,1845_2,92.5344,1.905,20.22,87.0,345.4622,345.4622,0.8556,325.2666,0.9917,325.2666,0.9917,1.0,136.1
1068,1845_3,92.5344,1.905,20.22,87.5,382.3782,382.3782,0.9389,341.1302,1.0778,341.1302,1.0778,1.0,138.90000000000015
1466,2653_1,77.112,1.905,19.73,90.9,416.7292,416.7292,1.4583,380.2193,1.4556,379.4061,1.4583,0.0,-2.6999999999999247
1466,2653_2,77.112,1.905,19.73,89.4,378.8424,378.8424,1.3111,373.2171,1.3111,373.2171,1.3111,1.0,0.0
1466,2653_3,77.112,1.905,19.73,89.1,422.7694,422.7694,1.2444,370.6153,1.2472,370.6153,1.2472,1.0,2.8000000000001357
1466,2653_4,77.112,1.905,19.73,87.8,311.8432,311.8432,1.3111,376.2409,1.3139,376.2409,1.3139,1.0,2.8000000000001357
1466,2653_5,77.112,1.905,19.73,87.7,445.7115,445.7115,1.2583,377.3237,1.2611,377.3237,1.2611,1.0,2.8000000000001357
1005,2655_1,94.3488,1.8034,19.58,84.8,355.8392,319.7433,1.2028,480.479,1.2,479.931,1.2028,0.0,-2.8000000000001357
1005,2655_2,94.3488,1.8034,19.58,85.8,528.4708,524.9119,1.0111,504.2478,1.125,504.2478,1.125,1.0,113.89999999999989
1005,2655_3,94.3488,1.8034,19.58,85.1,329.093,329.093,1.2056,485.274,1.3222,485.274,1.3222,1.0,116.60000000000004
1005,2655_4,94.3488,1.8034,19.58,84.8,448.2007,401.8771,1.1917,472.4107,1.1861,469.9791,1.1917,0.0,-5.600000000000049
1005,2655_5,94.3488,1.8034,19.58,84.9,508.7172,508.7172,1.075,514.4277,1.1889,514.4277,1.1889,1.0,113.90000000000012
976,2730_1,89.8128,1.8796,21.57,81.8,482.6874,318.3409,1.1639,516.9547,1.1583,508.7926,1.1639,0.0,-5.599999999999827
976,2730_2,89.8128,1.8796,21.57,82.6,368.5231,312.8007,1.2694,485.8788,1.2667,483.3699,1.2694,0.0,-2.7000000000001467
976,2730_3,89.8128,1.8796,21.57,82.8,437.5334,262.6746,1.2,521.6391,1.2444,521.6391,1.2444,1.0,44.39999999999999
976,2730_5,89.8128,1.8796,21.57,81.6,453.1987,278.3026,1.2139,475.2475,1.2056,466.4237,1.2139,0.0,-8.299999999999974
359,2734_1,87.9984,1.8288,20.99,87.9,235.9177,235.9177,1.4583,378.0002,1.5306,378.0002,1.5306,1.0,72.30000000000003
359,2734_2,87.9984,1.8288,20.99,88.1,229.6293,229.6293,1.4389,352.6902,1.5222,352.6902,1.5222,1.0,83.29999999999993
359,2734_3,87.9984,1.8288,20.99,87.8,260.1197,259.6857,1.3444,360.227,1.3306,324.0018,1.3444,0.0,-13.800000000000034
359,2734_4,87.9984,1.8288,20.99,88.4,291.7084,291.7084,1.5278,361.6988,1.6,361.6988,1.6,1.0,72.20000000000005
359,2734_5,87.9984,1.8288,20.99,86.8,282.0836,282.0836,1.4278,339.6345,1.5056,339.6345,1.5056,1.0,77.8000000000001
581,2742_1,99.792,1.905,20.46,87.7,209.8482,71.3797,1.3639,455.8507,1.3611,453.336,1.3639,0.0,-2.7999999999999137
581,2742_2,99.792,1.905,20.46,87.6,215.6008,96.1689,1.2583,460.0966,1.2583,460.0966,1.2583,1.0,0.0
581,2742_3,99.792,1.905,20.46,87.4,192.9474,93.0467,1.3083,437.8289,1.3056,435.9759,1.3083,0.0,-2.6999999999999247
581,2742_4,99.792,1.905,20.46,87.8,229.3954,127.2158,1.1556,423.675,1.2111,423.675,1.2111,1.0,55.50000000000011
581,2742_5,99.792,1.905,20.46,87.1,205.0758,86.6203,1.1778,430.1129,1.175,428.3733,1.1778,0.0,-2.7999999999999137
1552,2753_1,84.3696,1.8542,18.94,79.4,335.0772,335.0772,1.5583,356.918,1.6944,356.918,1.6944,1.0,136.09999999999988
1552,2753_2,84.3696,1.8542,18.94,79.9,251.4859,251.4859,1.3139,366.253,1.4583,366.253,1.4583,1.0,144.39999999999986
1552,2753_3,84.3696,1.8542,18.94,78.8,275.9676,275.9676,1.6028,371.2751,1.7306,371.2751,1.7306,1.0,127.79999999999991
1552,2753_4,84.3696,1.8542,18.94,80.0,312.1907,310.284,1.5917,371.4969,1.5861,368.2358,1.5917,0.0,-5.599999999999827
1552,2753_5,84.3696,1.8542,18.94,79.8,296.0667,296.0667,1.5361,379.6445,1.5306,376.8316,1.5361,0.0,-5.50000000000006
1557,2760_1,82.5552,1.8542,20.54,84.2,366.243,278.547,1.375,343.7974,1.3722,343.5427,1.375,0.0,-2.7999999999999137
1557,2760_2,82.5552,1.8542,20.54,84.4,314.6988,220.0736,1.1139,326.8462,1.1139,326.8462,1.1139,1.0,0.0
1557,2760_3,82.5552,1.8542,20.54,83.5,349.4657,349.4657,1.1722,305.4791,1.2972,305.4791,1.2972,1.0,125.0
1557,2760_4,82.5552,1.8542,20.54,83.8,349.34,332.19,1.0667,311.8872,1.1944,311.8872,1.1944,1.0,127.69999999999993
1557,2760_5,82.5552,1.8542,20.54,84.3,317.4883,289.1313,1.1972,326.6192,1.1972,326.6192,1.1972,1.0,0.0
1558,2761_2,88.9056,1.8542,19.35,79.2,318.3799,229.7348,1.3,386.8095,1.4139,386.8095,1.4139,1.0,113.89999999999989
1558,2761_3,88.9056,1.8542,19.35,79.7,256.8429,186.3321,1.4861,366.7694,1.4833,365.162,1.4861,0.0,-2.7999999999999137
1558,2761_4,88.9056,1.8542,19.35,79.7,247.7258,183.7674,1.6611,369.0186,1.6528,356.9643,1.6611,0.0,-8.299999999999974
1558,2761_5,88.9056,1.8542,19.35,79.4,310.1418,271.8311,1.3972,390.0207,1.5083,390.0207,1.5083,1.0,111.09999999999998
1584,2806_1,82.1016,1.778,20.01,79.8,285.9857,244.8479,1.0889,393.2107,1.075,367.694,1.0889,0.0,-13.900000000000023
1584,2806_2,82.1016,1.778,20.01,79.1,272.9402,224.8176,1.1056,383.3763,1.0917,362.5791,1.1056,0.0,-13.900000000000023
1584,2806_3,82.1016,1.778,20.01,79.4,248.6715,244.1366,1.0861,355.1373,1.0722,340.4252,1.0861,0.0,-13.900000000000023
1584,2806_4,82.1016,1.778,20.01,79.1,330.3242,291.1438,1.0194,351.1744,1.0056,332.7234,1.0194,0.0,-13.800000000000034
1584,2806_5,82.1016,1.778,20.01,79.3,315.5963,277.9367,1.0139,390.096,1.0028,374.5572,1.0139,0.0,-11.10000000000011
1589,2811_1,85.2768,1.9304,18.74,75.8,528.4875,528.4875,1.8583,477.9161,1.8806,477.9161,1.8806,1.0,22.299999999999986
1589,2811_2,85.2768,1.9304,18.74,76.4,537.0031,537.0031,1.6694,502.3321,1.6806,502.3321,1.6806,1.0,11.200000000000099
1589,2811_3,85.2768,1.9304,18.74,74.9,570.4646,570.4646,1.6667,477.5254,1.6861,477.5254,1.6861,1.0,19.399999999999864
1589,2811_4,85.2768,1.9304,18.74,75.1,569.2768,569.2768,1.7861,492.663,1.7778,478.4071,1.7861,0.0,-8.299999999999974
1589,2811_5,85.2768,1.9304,18.74,74.9,485.4292,485.4292,1.5944,494.1688,1.5889,490.4456,1.5944,0.0,-5.50000000000006
1590,2812_1,76.2048,1.905,17.68,80.5,464.0478,464.0478,1.3889,469.6247,1.4389,469.6247,1.4389,1.0,50.00000000000004
1590,2812_2,76.2048,1.905,17.68,79.8,427.6059,427.6059,1.1667,478.4475,1.2139,478.4475,1.2139,1.0,47.19999999999991
1590,2812_3,76.2048,1.905,17.68,81.0,405.1335,405.1335,1.275,452.557,1.3194,452.557,1.3194,1.0,44.39999999999999
1590,2812_4,76.2048,1.905,17.68,79.9,372.8625,372.8625,1.3056,555.0772,1.3778,555.0772,1.3778,1.0,72.19999999999982
1590,2812_5,76.2048,1.905,17.68,79.3,255.6518,255.6518,1.1611,439.2191,1.2139,439.2191,1.2139,1.0,52.799999999999955
1592,2815_1,97.0704,1.905,22.8,91.1,319.4355,319.4355,1.7083,360.3267,1.7361,360.3267,1.7361,1.0,27.800000000000047
1592,2815_2,97.0704,1.905,22.8,90.7,252.5819,252.5819,1.6389,386.7932,1.6333,384.1157,1.6389,0.0,-5.600000000000049
1592,2815_3,97.0704,1.905,22.8,89.6,230.0907,205.134,1.6667,386.0955,1.6667,386.0955,1.6667,1.0,0.0
1592,2815_4,97.0704,1.905,22.8,89.6,198.6888,182.1428,1.6611,394.2033,1.6556,390.0727,1.6611,0.0,-5.50000000000006
1592,2815_5,97.0704,1.905,22.8,89.6,219.6737,219.6737,1.7889,407.1751,1.7861,406.8228,1.7889,0.0,-2.7999999999999137
1595,2818_1,96.1632,1.9558,19.61,86.7,476.0818,476.0818,1.2583,316.8558,1.375,316.8558,1.375,1.0,116.70000000000003
1595,2818_2,96.1632,1.9558,19.61,85.8,539.139,539.139,1.1194,299.9575,1.2417,299.9575,1.2417,1.0,122.30000000000007
1595,2818_3,96.1632,1.9558,19.61,86.3,455.8746,455.8746,1.1111,280.4774,1.2194,280.4774,1.2194,1.0,108.30000000000007
1595,2818_4,96.1632,1.9558,19.61,85.8,507.4606,507.4606,1.1,311.3752,1.2306,311.3752,1.2306,1.0,130.59999999999982
1595,2818_5,96.1632,1.9558,19.61,85.8,339.708,339.708,1.2417,341.8849,1.3083,341.8849,1.3083,1.0,66.6
1606,2833_1,83.916,1.8034,19.84,85.5,955.1486,955.1486,1.2861,571.8286,1.2694,539.4146,1.2861,0.0,-16.69999999999994
1606,2833_2,83.916,1.8034,19.84,85.9,925.9474,925.9474,1.2111,571.3184,1.1889,519.2956,1.2111,0.0,-22.199999999999996
1606,2833_3,83.916,1.8034,19.84,85.2,911.2663,911.2663,1.2028,568.2896,1.1806,541.4063,1.2028,0.0,-22.199999999999996
1606,2833_4,83.916,1.8034,19.84,85.8,735.4149,732.4697,1.3417,608.7918,1.3222,566.3954,1.3417,0.0,-19.49999999999985
1606,2833_5,83.916,1.8034,19.84,85.4,751.8471,751.8471,1.4694,589.2356,1.4667,588.3081,1.4694,0.0,-2.7000000000001467
1562,2840_1,84.8232,1.9304,20.64,82.1,780.0133,750.7315,1.4417,463.4345,1.4417,463.4345,1.4417,1.0,0.0
1562,2840_2,84.8232,1.9304,20.64,82.3,641.2334,519.6442,1.5472,482.5229,1.5472,482.5229,1.5472,1.0,0.0
1562,2840_4,84.8232,1.9304,20.64,81.9,825.277,738.6923,1.625,481.4814,1.625,481.4814,1.625,1.0,0.0
1562,2840_5,84.8232,1.9304,20.64,81.5,578.3364,531.7276,1.5972,427.7577,1.5972,427.7577,1.5972,1.0,0.0
565,2843_1,83.4624,1.778,23.98,86.9,412.1413,412.1413,1.2556,379.7926,1.2611,379.7926,1.2611,1.0,5.50000000000006
565,2843_2,83.4624,1.778,23.98,85.8,367.7193,367.7193,1.0861,398.8634,1.0944,398.8634,1.0944,1.0,8.299999999999974
565,2843_3,83.4624,1.778,23.98,86.3,377.9918,377.9918,1.1861,421.6871,1.1833,420.6468,1.1861,0.0,-2.7999999999999137
565,2843_4,83.4624,1.778,23.98,85.3,331.5666,331.5666,1.1639,422.3249,1.1556,408.3568,1.1639,0.0,-8.299999999999974
565,2843_5,83.4624,1.778,23.98,86.2,355.3247,355.3247,1.1417,456.8584,1.1361,450.334,1.1417,0.0,-5.599999999999827
1612,2853_1,89.3592,1.778,19.09,82.4,360.3543,355.5249,1.4722,418.7456,1.45,350.5568,1.4722,0.0,-22.199999999999996
1612,2853_3,89.3592,1.778,19.09,83.8,310.3091,309.6652,1.6611,410.5876,1.6417,348.6518,1.6611,0.0,-19.400000000000084
1612,2853_4,89.3592,1.778,19.09,82.8,322.5868,311.7248,1.3306,425.42,1.3083,352.717,1.3306,0.0,-22.299999999999986
1612,2853_5,89.3592,1.778,19.09,82.8,389.7594,389.7594,1.3889,426.0442,1.5111,426.0442,1.5111,1.0,122.20000000000009
1616,2857_1,69.4008,1.8542,18.85,72.6,102.6568,102.6568,1.375,396.131,1.5,396.131,1.5,1.0,125.0
1616,2857_2,69.4008,1.8542,18.85,73.5,77.9749,77.9749,1.5694,388.6858,1.5611,382.3521,1.5694,0.0,-8.299999999999974
1616,2857_3,69.4008,1.8542,18.85,73.1,169.0933,169.0933,1.2639,415.1408,1.3861,415.1408,1.3861,1.0,122.20000000000009
1616,2857_4,69.4008,1.8542,18.85,72.9,183.3487,183.3487,1.3472,377.9795,1.3583,377.9795,1.3583,1.0,11.10000000000011
1616,2857_5,69.4008,1.8542,18.85,73.3,211.5445,211.5445,1.4806,496.4129,1.4722,479.1817,1.4806,0.0,-8.399999999999963
